dataset,parameter,full_data_estimate,bootstrap_mean,bootstrap_se,ci_lower,ci_upper,n_valid
rand,beta_1_47,0,0.0197176365090777,0.0892012676450525,0,0.307552831999078,500
rand,beta_1_48,-0.368963897199287,-0.180943069560945,0.178003276826383,-0.512074506271558,0,500
rand,beta_1_49,-0.428822532259493,-0.291967300854562,0.210184140893943,-0.707562235611181,0,500
rand,beta_1_50,0,0.397082728382333,0.290200148388152,0,0.837624654585242,500
rand,beta_1_51,0,0.0001764064468646,0.0203139144267269,0,0,500
rand,beta_1_52,0,-0.0199163862535999,0.0860461567310681,-0.300064432359058,0,500
rand,beta_1_53,0,0.0240454577530548,0.0736563046148505,0,0.162213288600365,500
rand,beta_1_54,0,0,0,0,0,500
rand,extra_1_log_alpha,1.66183800895528,1.63301620381165,0.191715602279076,1.23775755554485,1.97963236103122,500
rand,alpha_1,5.2689863940271,5.21320257791381,0.992912473859835,3.44844623477626,7.24008282005217,500
