dataset,families,K,lambda,nonidentical,splits_observed,bic_wins,mean_delta_bic,median_delta_bic,max_delta_bic,mean_test_loglik_per_obs,mean_test_rmse,mean_test_mae,mean_rmse_skill,mean_mae_skill,finite_prediction_rate,stable_prediction_rate,median_min_pi
bird_counts,nb2+zip+zinb,3,10.0,True,3,0,1949.3840934445423,1853.0867316608492,2222.6945158598246,-2.5994426270628774,3.4705289330905304e+84,2.0858829090751441e+83,-1.6078314298645714e+81,-9.355112309823659e+80,1.0,0.6666666666666666,0.19811975702532642
bird_counts,poisson+nb2+nb2,3,2.0,True,3,0,1952.1276163490063,1823.0669594863502,2273.981252504993,-2.6025488805019683,inf,1.8674714011417087e+301,-inf,-8.383414383321702e+298,1.0,0.0,0.15667023131684363
bird_counts,poisson+nb2+nb2,3,10.0,True,3,0,2000.1513261950483,1762.1908144083645,2546.6689720176946,-2.5926534020471874,inf,2.3356647807471755e+178,-inf,-8.785795673021225e+175,1.0,0.6666666666666666,0.1416985743361789
bird_counts,poisson+nb2+zinb,3,10.0,True,3,0,2005.1602193899598,1735.6831417155336,2606.1065595121763,-2.593381313213973,1684.6755370388346,197.32220439479772,0.2091224097996739,0.16940240490758,1.0,1.0,0.11953407976568566
bird_counts,nb2+zip+zinb,3,50.0,True,3,0,2075.5993532295056,1957.078901782712,2539.753767507711,-2.609211019490593,1699.7209936340644,190.33998535313938,0.20066032994769997,0.1992505410482841,1.0,1.0,0.18909191604173406
bird_counts,zinb+zinb,2,50.0,False,3,0,2207.3093539061883,2380.027699191458,2609.103506605097,-2.6210284396531636,1651.8999463769076,186.8422702401477,0.22339237891639607,0.21392995423283925,1.0,1.0,0.19258896618076957
bird_counts,nb2+zip+zinb,3,100.0,True,3,0,2312.252738394971,2380.9269170873667,2646.8108424168313,-2.6333649893231286,1640.8190074299157,191.35332785453068,0.22965415800068942,0.19428773664176036,1.0,1.0,0.09630272488135792
bird_counts,zip+zip+zinb,3,25.0,True,3,0,2332.0602262831912,2334.1883516827293,2507.63959454211,-2.628896782855069,1602.405352480523,186.1212991118754,0.24652463230819513,0.21697035994643624,1.0,1.0,0.13036566873584957
bird_counts,nb2+zinb,2,50.0,True,3,0,2344.54479443189,2227.1058971715684,2741.290865714538,-2.6244120201229273,1691.698204215251,192.9342997697777,0.20622742229720595,0.1888659808195927,1.0,1.0,0.10519801353829336
bird_counts,poisson+poisson+zinb,3,25.0,True,3,0,2372.8827017629105,2438.056024861595,2445.6683822564955,-2.629563978253882,1613.572502402542,187.69460900360278,0.24146323566740524,0.2104283388321806,1.0,1.0,0.17351472820213754
bird_counts,nb2+nb2,2,50.0,False,3,0,2395.7480753364,2354.068601152525,2544.642720129821,-2.6238056933641416,1729.6752979781293,196.9433933131038,0.1880611916558568,0.17178784678209313,1.0,1.0,0.08894948249819282
bird_counts,nb2+zip+zip,3,5.0,True,3,0,2413.581005984037,2389.412458828687,2666.209027607707,-2.6244664311631194,1617.850110854054,190.06626380664022,0.2392675457413637,0.2002601941749844,1.0,1.0,0.16863923978088674
bird_counts,poisson+poisson+nb2,3,25.0,True,3,0,2419.783733135972,2456.387195725707,2541.8308663672506,-2.6287546289084798,1612.0850936662866,186.4255408436076,0.24200696308537217,0.2156248636483645,1.0,1.0,0.12609402948439608
bird_counts,poisson+nb2+zip,3,50.0,True,3,0,2423.959545120357,2309.0612183100384,2837.6323004395526,-2.6356723770873796,1598.6107837982145,186.33287421373583,0.2487887267054565,0.21597111696850224,1.0,1.0,0.1567782979758616
bird_counts,poisson+zip+zinb,3,10.0,True,3,0,2435.5253168040217,2413.293023473081,2707.4580636071987,-2.6282292898108195,1623.100709791339,188.9449448454011,0.23644595358482057,0.2050276618393797,1.0,1.0,0.12353641335007864
bird_counts,poisson+zip+zinb,3,50.0,True,3,0,2444.3834338256056,2417.6577313619564,2716.1799100012504,-2.6334331917934355,1605.4585017596912,185.56628615880126,0.24552674129675287,0.21951288129825272,1.0,1.0,0.1463096726669031
bird_counts,poisson+poisson+nb2,3,50.0,True,3,0,2445.006695207788,2441.284393668051,2460.5234420491033,-2.6295566298388455,1598.1178424074308,184.21559529796852,0.24884981280691962,0.22496645853577368,1.0,1.0,0.11075543621355553
bird_counts,zip+zip+zinb,3,2.0,True,3,0,2455.6707543984544,2397.771942969157,2662.8673023687516,-2.6418020605513046,1619.8198468814826,190.72512121489032,0.23807421252484717,0.19751730113724464,1.0,1.0,0.1269252959791702
bird_counts,poisson+zip+zinb,3,0.0,True,3,0,2457.9406289395192,2375.0349658422056,2684.651403522388,-2.655000655123384,1639.3106223599416,192.19283105232012,0.2286716867001606,0.1910989796512054,1.0,1.0,0.12355844683850882
bird_counts,poisson+poisson+zinb,3,2.0,True,3,0,2459.226450151104,2365.580843340882,2703.821069294456,-2.6404727632446843,1635.75510152926,191.62697807791332,0.23044707764546635,0.19350032974712694,1.0,1.0,0.12499958589753311
bird_counts,poisson+nb2+zip,3,0.0,True,3,0,2465.624380828878,2526.267474174092,2652.0239034000697,-2.6577918378421685,1633.4205496015918,191.7116959185312,0.23136057664453127,0.19277179670027542,1.0,1.0,0.17713864123604056
bird_counts,poisson+poisson+zinb,3,5.0,True,3,0,2471.1613446036718,2379.0846980509814,2713.1976387275645,-2.631433751619267,1632.4168946460588,191.02431309094325,0.23200899330547753,0.1960072456929742,1.0,1.0,0.12621692016019384
bird_counts,poisson+nb2+zip,3,5.0,True,3,0,2473.140747938635,2426.028391372587,2584.8419120379403,-2.6300489674720837,1627.9056572622437,191.20882603050907,0.234222397708536,0.19516672328853502,1.0,1.0,0.1186797248240226
bird_counts,poisson+nb2,2,50.0,True,3,0,2474.7784631365307,2414.6349844484357,2744.3565173321185,-2.64240066889681,1610.3302556734018,184.52336091779011,0.24256024107416388,0.22339945873733566,1.0,1.0,0.2839159635888033
bird_counts,nb2+zip+zip,3,10.0,True,3,0,2483.284581601707,2488.59304111806,2642.912730104421,-2.627823835098999,1615.9608919234986,188.04264508172457,0.23981711641181944,0.20901883402777244,1.0,1.0,0.12235438699866838
bird_counts,poisson+nb2+zinb,3,100.0,True,3,0,2484.2629620030953,2256.5068623705156,3123.3330397568498,-2.6336413310752254,1688.5287622624317,193.04333435390063,0.20615738038734654,0.1881526721242509,1.0,1.0,0.07617388408347377
