example_id,n,rank,K,families,bic,is_true_structure,is_equiv_structure
4,500,3,2,zip + zip,2480.4446232468326,False,True
4,500,4,2,zip + nb2,2480.453144993601,False,False
4,500,5,2,nb2 + zip,2480.5224264805884,False,False
4,500,6,2,nb2 + nb2,2497.6053482653742,False,False
4,500,7,3,poisson + poisson + nb2,2503.6568567003274,False,False
4,500,8,3,poisson + nb2 + poisson,2504.573889014089,False,False
4,500,9,3,zip + poisson + poisson,2506.624980944321,False,False
4,500,10,3,poisson + poisson + zip,2506.6727957434496,False,False
4,1000,1,2,zip + poisson,4928.73152565435,True,True
4,1000,2,2,poisson + zip,4928.808996304605,True,True
4,1000,3,2,nb2 + zip,4935.185350794164,False,False
4,1000,4,2,zip + zip,4935.701649213903,False,True
4,1000,5,2,zip + nb2,4935.783508299231,False,False
4,1000,6,2,nb2 + nb2,4962.935546867736,False,False
4,1000,7,3,nb2 + poisson + poisson,4962.993229973371,False,False
4,1000,8,3,poisson + poisson + nb2,4964.076458694848,False,False
4,1000,9,3,poisson + nb2 + poisson,4966.217047297018,False,False
4,1000,10,3,zip + poisson + poisson,4967.619420710404,False,False
4,1500,1,2,zip + poisson,7247.864886225902,True,True
4,1500,2,2,poisson + zip,7247.998552001109,True,True
4,1500,3,2,nb2 + zip,7252.67838211954,False,False
4,1500,4,2,zip + nb2,7252.743396282759,False,False
4,1500,5,2,zip + zip,7255.235155811166,False,True
4,1500,6,3,poisson + poisson + poisson,7277.086208657389,False,False
4,1500,7,3,nb2 + poisson + poisson,7278.978722060797,False,False
4,1500,8,3,poisson + nb2 + poisson,7283.872186405987,False,False
4,1500,9,3,poisson + nb2 + nb2,7285.650704416499,False,False
4,1500,10,3,nb2 + poisson + nb2,7287.0436205635815,False,False
1,500,1,2,student_t + gaussian,1958.1864932763576,True,True
1,500,2,2,gaussian + student_t,1963.6961612453836,True,True
1,500,3,2,student_t + student_t,1964.3329474393538,False,True
1,500,4,2,student_t + skew_normal,1964.40081091015,False,False
1,500,5,2,skew_normal + student_t,1969.9114632011542,False,False
1,500,6,2,gaussian + gaussian,1971.9686078533348,False,False
1,500,7,2,skew_normal + gaussian,1978.183205949374,False,False
1,500,8,2,gaussian + skew_normal,1978.1840451862884,False,False
1,500,9,2,skew_normal + skew_normal,1984.3986460894791,False,False
1,500,10,3,gaussian + gaussian + gaussian,1988.8520128295902,False,False
1,1000,1,2,student_t + gaussian,3784.7225705291794,True,True
1,1000,2,2,student_t + student_t,3791.6193668594665,False,True
1,1000,3,2,student_t + skew_normal,3791.6290849020456,False,False
1,1000,4,2,gaussian + student_t,3799.9925471553347,True,True
1,1000,5,2,gaussian + gaussian,3802.6902896113615,False,False
1,1000,6,2,skew_normal + student_t,3806.900158794631,False,False
1,1000,7,2,gaussian + skew_normal,3809.596575841969,False,False
1,1000,8,2,skew_normal + gaussian,3809.5979762183542,False,False
1,1000,9,2,skew_normal + skew_normal,3816.504261060678,False,False
1,1000,10,3,student_t + gaussian + gaussian,3821.1349572771956,False,False
