scenario,example_id,seed,penalty,lambda,l1_ratio,bic,test_ll,time,tpr,fpr,fdr,fnr,mse,selected_size,active_size,tp,fp,fn,tn
B,2,9202,enet,100.0,0.5,2477.8637769887973,-1.2116300239022157,1.2257230281829834,0.9,0.3333333333333333,0.5263157894736842,0.1,0.01221612897008365,19,10,9,10,1,20
B,2,9202,enet,200.0,0.5,2466.5904600579156,-1.2294253218341689,1.240217924118042,0.6,0.23333333333333334,0.5384615384615384,0.4,0.015399084612390831,13,10,6,7,4,23
B,4,9204,none,0.0,,5271.215818447287,-2.4913516361821393,4.1395978927612305,1.0,1.0,0.75,0.0,0.002384629156584342,40,10,10,30,0,0
B,4,9204,lasso,1.0,,5271.326341395251,-2.490210922410126,4.129347801208496,1.0,1.0,0.75,0.0,0.0022298668631238923,40,10,10,30,0,0
B,4,9204,lasso,2.0,,5271.608627275473,-2.489358225349576,4.055444240570068,1.0,1.0,0.75,0.0,0.002122667172045332,40,10,10,30,0,0
B,4,9204,lasso,5.0,,5245.336410363412,-2.487297239146712,3.830770254135132,1.0,0.8666666666666667,0.7222222222222222,0.0,0.0018082368245259813,36,10,10,26,0,4
B,4,9204,lasso,10.0,,5214.314942004706,-2.485559861332032,3.57612943649292,1.0,0.7,0.6774193548387096,0.0,0.0018522374133828037,31,10,10,21,0,9
B,4,9204,lasso,20.0,,5190.6816744391635,-2.486524273632987,3.2282633781433105,1.0,0.5333333333333333,0.6153846153846154,0.0,0.0029236422601320116,26,10,10,16,0,14
B,4,9204,lasso,50.0,,5167.891158486909,-2.5046224530034977,3.183655023574829,1.0,0.23333333333333334,0.4117647058823529,0.0,0.008273982904191764,17,10,10,7,0,23
B,4,9204,lasso,100.0,,5243.8370065300405,-2.566084791966084,3.614590644836426,0.9,0.06666666666666667,0.18181818181818182,0.1,0.02145131364210328,11,10,9,2,1,28
B,4,9204,lasso,200.0,,5399.132320466786,-2.6497788997312037,2.3708419799804688,0.6,0.0,0.0,0.4,0.030906214253253114,6,10,6,0,4,30
B,4,9204,enet,1.0,0.5,5271.271342733899,-2.4907438995104116,4.133751392364502,1.0,1.0,0.75,0.0,0.002305442459726308,40,10,10,30,0,0
B,4,9204,enet,2.0,0.5,5271.379746315968,-2.4901912261426706,4.069029808044434,1.0,1.0,0.75,0.0,0.0022382648045386764,40,10,10,30,0,0
B,4,9204,enet,5.0,0.5,5265.108502169308,-2.4890192568784864,4.006654977798462,1.0,0.9666666666666667,0.7435897435897436,0.0,0.002121023926518931,39,10,10,29,0,1
B,4,9204,enet,10.0,0.5,5245.925717144041,-2.4874992615695355,3.739304304122925,1.0,0.8666666666666667,0.7222222222222222,0.0,0.0019208153626709822,36,10,10,26,0,4
B,4,9204,enet,20.0,0.5,5223.304479698184,-2.4871801009392827,3.422682046890259,1.0,0.7333333333333334,0.6875,0.0,0.002377397487448765,32,10,10,22,0,8
B,4,9204,enet,50.0,0.5,5197.750115742655,-2.492816937260937,3.3302254676818848,1.0,0.5,0.6,0.0,0.004944007051190146,25,10,10,15,0,15
